Response.No.;Age;Region;Along.the.coast;Deep.sea;In.the.reef.area;Other;q19boatsize;q20gearBasket;q20gearhandline;q20gearVerticalline;q20gearLargeNet;q20gearGillnet;q20gearOthers;q21engine1;q32Fisnearfad;q60rainy1n0;q63m3s2l1;q64summ1l0;q65winm1l0;q66m3s2l1;q13edu;q14house;q15source;q16age;q17ageregis;q170t.registered;q18fishinboat;;q19exatsize;q19other;q19othersize;;;;;;;;q21engine2;q21other;q22boat;q22boatrange;q22engine;q22enginerange;q22equip;q22equiprange;q22line;q22linerange;q22other;q22tot;q22totrange;q22tot.c;q23homeport;q24homecellA;q25freqloca;q26month;q26times;q27monthmore;q27monthmorerange;Q28wcell1;Q28wcell2;Q28wcell3;Q28wcell4;Q28wcell5;Q28wcell6;Q28wcell7;Q28wcell8;q29Scell1;q29Scell2;q29Scell3;q29Scell4;q29Scell5;q29Scell6;q29Scell7;q29Scell8;q30FADgood;q31FADtrain;;q32why;q33change;q34goodapp;q35;q36fadhelp;q37expl;q38Y1cell;q39Y2cell;q40FADtotal.kg;q41F1name;q41code;q41F1min;q41F1max;q41F2name;q41F2code;q41F2min;q41F2max;q41F3name;q41F3code;q41F3min;q41F3max;q42fadtimes;q43sumname1;q43sumcode1;q43summin1;q43fssummax1;q43sumname2;q43sumcode2;q43summin2;q43fssummax2;q43sumname3;q43sumcode3;q43summin3;q43fssummax3;q43winname1;q43winname1.1;q43winmin1;q43fswinmax1;q43winname2;q43winname2.1;q43winmin2;q43fswinmax2;q43winname3;q43winname3.1;q43winmin3;q43fswinmax3;q44fadmore;q44Dynamic;q45FADmorecell;q46name1;q46name1code;q46name2;q46name2code;q46name3;q46name3code;q46name4;q46name3code.1;q47seamore;q48s0w1;q49less;q50;q51sealess;q52s0w1;q53twofads;q54name1;q54name1code;q54name2;q54name2code;q54name3;q54name3code;q54name4;q54name3code.1;q55temy1n0;q56desc;q57temtime;q57temtimerange;q58fsbehsum;q59fsbewin;q60rainy1n0;q60rainS2DK3;q611when;q611when..range;q62rainb0a4;q62rainb0a4both2DK3;q63m3s2l1;q64summ1l0;q64summ1l0S2DK3;q65winm1l0;q65winm1l0S2DK3;q66m3s2l1;q67n0y1;q67name1;q67name1code;q67name2;q67name2code;q67name3;q67name3code;q67name4;q67name4code;q67name5;q67name5code;q68M3L1s2;q69accnum;q70y1n0;q71usey1n0;q72example;q73Xcell;id;q73X2cell;q74measure;DistanceFADS;q75weather;q75weathernight;q76fami;q77n1q2h3nf4fm5m6mt7;q78fishingtrip;q79selec;q80totalcatch.kg;q81numfisher;q82fsname1;q82fsname1code;q82fsweight1;q82fslen1;q82fsname2;q82fsname2code;q82fsweight2;q82fslen2;q82fsname3;q82fsname3code;q82fsweight3;q82fslen3;q82fsname4;q82fsname4code;q82fsweight4;q82fslen4;q82fsname5;q82fsname5code;q82fsweight5;q82fslen5;q82fsname6;q82fsname6code;q82fsweight6;q82fslen6;q82fsname7;q82fsname7code;q82fsweight7;q82fslen7;q82fsname8;q82fsname8code;q82fsweight8;q82fslen8;q82fsname9;q82fsname9code;q82fsweight9;q82fslen9;q82fsname10;q82fsname10code;q82fsweight10;q82fslen10;q82fsname11;q82fsname11code;q82fsweight11;q82fslen11;q82fsname12;q82fsname12code;q82fsweight12;q82fslen12;q82fsname13;q82fsname13code;q82fsweight13;q82fslen13;q82fsname14;q82fsname14code;q82fsweight14;q82fslen14;q82fsname15;q82fsname15code;q82fsweight15;q82fslen15;q82fsname16;q82fsname16code;q82fsweight16;q82fslen16;q82fsname17;q82fsname17code;q82fsweight17;q82fslen17;q82fsname18;q82fsname18code;q82fsweight18;q82fslen18;q82fsname19;q82fsname19code;q82fsweight19;q82fslen19;q82fsname20;q82fsname20code;q82fsweight20;q82fslen20;q82fsname21;q82fsname21code;q82fsweight21;q82fslen21;q82fsname22;q82fsname22code;q82fsweight22;q82fslen22;q82fsname23;q82fsname23code;q82fsweight23;q82fslen23;q82fsname24;q82fsname24code;q82fsweight24;q82fslen24;q82fsname25;q82fsname25code;q82fsweight25;q82fslen25;q82fsname26;q82fsname26code;q82fsweight26;q82fslen26;q82fsname27;q82fsname27code;q82fsweight27;q82fslen27;q82fsname28;q82fsname28code;q82fsweight28;q82fslen28;q82fsname29;q82fsname29code;q82fsweight29;q82fslen29;q82fsname30;q82fsname30code;q82fsweight30;q82fslen30;q82fsname31;q82fsname31code;q82fsweight31;q82fslen31;q82fsname32;q82fsname32code;q82fsweight32;q82fslen32;q82fsname33;q82fsname33code;q82fsweight33;q82fslen33;q82fsname34;q82fsname34code;q82fsweight34;q82fslen34;q82fsname35;q82fsname35code;q82fsweight35;q82fslen35;q82fsname36;q82fsname36code;q82fsweight36;q82fslen36;q82fsname37;q82fsname37code;q82fsweight37;q82fslen37;q82fsname38;q82fsname38code;q82fsweight38;q82fslen38;q82fsname39;q82fsname39code;q82fsweight39;q82fslen39;q82fsname40;q82fsname40code;q82fsweight40;q82fslen40;q82fsname41;q82fsname41code;q82fsweight41;q82fslen41;q82fsname42;q82fsname42code;q82fsweight42;q82fslen42;q82fsname43;q82fsname43code;q82fsweight43;q82fslen43;q82fsname44;q82fsname44code;q82fsweight44;q82fslen44;q82fsname45;q82fsname45code;q82fsweight45;q82fslen45;q82fsname46;q82fsname46code;q82fsweight46;q82fslen46;q82fsname47;q82fsname47code;q82fsweight47;q82fslen47;q82fsname48;q82fsname48code;q82fsweight48;q82fslen48;q82fsname49;q82fsname49code;q82fsweight49;q82fslen49;q82fsname50;q82fsname50code;q82fsweight50;q82fslen50;q82fsname51;q82fsname51code;q82fsweight51;q82fslen51;q82totaweight;q83fuelD0E1;q84fuelcost;costper.km;q84days;q86fishers;q87numbask;q88height;q88width;q88length;q90lengthwillingness;Questionlouche
112;29;South;1;0;1;0;Wooden Pirogue < 8 m;0;1;0;0;1;0;On foot;0;0;3;0;1;1;2;2;0;12;;;0;;23;;;;;;;;;;;;750000;;0;;;;5000;;2000;7000;;<75k;;;1;December;20;January;;10014;10282;10550;;;;;;10014;10282;10550;;;;;;1;0;;;0;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;Hotter climate;3;;0;0;0;;;;;;3;0;;1;;1;0;;;;;;;;;;;2;;1;1;Meteo;10550;10550;;0;5;1;;1;2;2.5;1;4;0;Carangue;27;1000;;Carangue;27;1000;;Rouget;83;500;;Capitaine;25;500;;Capitaine;25;1000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;
113;37;South;1;1;0;0;Wooden Pirogue < 8 m;0;1;1;0;0;0;Outboard motor  power 9-25;1;0;3;0;1;1;3;2;0;10;;;0;;23;;;;;;;;;;;;100000;;75000;;;;;;;175000;;165-260k;Batelage;10550;2;December;15;January;;10150;10554;11356;;;;;;10819;11222;12425;;;;;;1;0;;;1;1;Catch more fish;1;Ban gros poisson gagne manger kot fads;10554;10554;10;Vacoas;108;5;8;Berri;11;1;4;Thon;99;10;25;10;Berri;11;0.5;4;Capitaine;25;0.5;4;Thon;99;10;25;Dorade;43;8;15;Berri;11;0.5;3;Sacre chien;87;2;4;0;;;;;;;;;;;;;0;;;;0;;;;;;;;;1;Rise in temperature in summer;5;;0;0;0;;;;0;;3;0;;1;;1;0;;;;;;;;;;;2;;1;1;Meteo;11222;11222;;6;6.2;2;;1;3;8;1;15;1;Vielle rouge;119;500;;Vielle rouge ;119;500;;Vielle rouge;119;500;;Vielle rouge;119;400;;Vielle rouge;119;600;;Vielle rouge;119;250;;Vielle rouge ;119;250;;Berri;11;500;;Berri;11;500;;Berri;11;500;;Berri;11;500;;Bonite;14;1000;;Bonite;14;1500;;Bonite;14;1000;;Bonite;14;1500;;Empereur;44;2000;;Empereur;44;5000;;Empereur;44;3000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;2000;333;;;;;;;2;
114;49;West;0;1;0;0;Fibre glass;0;1;1;0;0;0;Outboard motor  power 9-25;1;1;1;0;0;1;3;4;1;13;18;;1;;27;Fibre Glass;27;;;;;;;;;;250000;;190 000;;;;45 000;;;485000;;>260k;La Preneuse;8389;1;November;30;October;;6768;6374;7177;7845;;;;;6373;7321;8120;7836;;;;;1;0;;;1;1;Small debris on FADs attract small fish which then attracts large fish;1;Fads attracts large fish which are 93d at higher prices;7177;7177;75;Thon ;99;15;30;Dorade;43;10;20;Beking;9;10;20;30;Marlin;62;110;650;Thon;99;15;90;Dorade;43;10;20;Thon;99;8;20;Dorade;43;10;20;Beking;9;10;20;1;;7177;Marlin;62;Thon;99;Dorade;43;;;1;0;0;;;;1;Thon;99;;;;;;;1;Since 2002, it's hotter;17;;1, fish are moving away from the coast and into the open water;1, fish are moving away from the coast into deeper waters;1;;5;;0;;1;0;;0;;1;1;Sardine;90;Rouget;83;;;;;;;3;10;1;1;Internet, avoid fuel wastage and avoid fishing in bad conditions;6915;6915;;12.5;5.3;1;;1;2;48;3;175;2;Thon;99;27000;150;Thon;99;20000;150;Thon Jaune ;104;23 000;150;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1250;100;;;;;;;1;
115;52;West;0;1;0;0;Wooden Pirogue < 8 m;1;1;1;0;0;0;Outboard motor  power 9-25;1;1;1;0;1;1;3;1;1;25;35;;1;;23;;;;;;;;;;;;115000;;25 000;;;;40 000;;;180000;;165-260k;Tamarin;8654;3;October;14;;Oct - Jan;7321;7987;8116;;;;;;5704;5705;5705;;;;;;1;0;;;1;1;Attire ti poisson ;1;Gagne plis bku poisson;8120;8120;158;Thon rouge;105;19;25;;;;;;;;;;L'empereur;44;75;100;Droite;125;15;20;Beking;9;20;30;Thon Jaune;104;7.5;10;Vielle Rouge;119;3;5;;;;;1;;8116;Thon Jaune;104;Droite;125;;;;;1;1;1;8120;1;0;1;Thon;99;;;;;;;1;Hotter in winter;5;;Fish are further deeper;Summer more fish;1;;2;;0;;1;0;;1;;1;1;Berri;11;;;;;;;;;1;;1;1;Kapav navigue plis bien;8120;8120;;5;0;2;;1;2;8;1;150;3;Thon Big eye;101;19 000;100;Thon Big eye;101;22 000;90;Thon Rouge;105;25 000;100;Thon Rouge ;105;25 000;95;Thon Rouge;105;25000;95;Thon rouge;105;25000;95;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1800;360;;;;;;;1;
116;58;West;0;1;0;0;Wooden Pirogue < 8 m;0;0;1;0;0;0;Outboard motor  power 9-25;1;1;3;1;0;2;1;1;1;20;31;;1;;23;;;;;;;;;;;;120000;;73 000;;;;60 000;;;253000;;165-260k;Tamarin;8654;4;October;15;;Oct - Dec;7437;7836;8642;;;;;;7177;7437;7836;;;;;;1;1;;;0;1;Attire ti poisson;1;Gagne plis bku poisson;7437;7437;41;Thon albacore;100;10;50;;;;;;;;;;Thon jaune;104;7.5;50;Dorade;43;8;14;Beking;9;;;Thon jaune;104;7.5;50;;;;;;;;;0;;;;;;;;;;;;;0;;;;0;;;;;;;;;1;Plis chaud;5;;1;1;1;;5;;0;;3;1;;0;;2;0;;;;;;;;;;;1;;1;1;Evite accidents;7717;7717;;6.8;0;2;;1;4;24;1;40;2;Thon albacore;100;20000;90;Thon albacore;100;20 000;90;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; ;;;;;;;;;;;;;;;;;;;;;1;1320;194;;;;;;;1;
117;24;West;0;1;0;0;Wooden Pirogue < 8 m;0;1;1;0;0;0;Outboard motor  power 9-25;1;1;1;0;0;1;3;2;0;24;;;0;;23;;;;;;;;;;;;100000;;75000;;;;;;;175000;;165-260k;Tamarin;8654;4;October;1;October;;8120;7845;8116;;;;;;7845;7177;8120;;;;;;1;0;;;0;1;Attire poisson;1;Attire poisson;8120;8120;17,5;Empereur;44;30;40;Dorade;43;10;20;Bonite;14;10;15;1;Thon Jaune ;104;25;35;Dorade;43;10;20;Bonite;14;10;15;Thon Jaune ;104;5;35;Dorade;43;10;20;Bonite;14;10;15;0;;;;;;;;;;;;;0;;;;0;;;;;;;;;1;Hotter;10;;0;0;1;;10;;0;;1;0;;0;;1;0;;;;;;;;;;;1;;1;1;Meteo;8120;7987;;5.2;0;1;;1;;24;1;18;1;Thon Jaune;104;5000;50;Thon Jaune;104;5000;50;Bonite;14;2500;15;Bonite;14;5000;17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;700;135;;;;;;;2;
118;54;West;0;1;0;0;Wooden Pirogue < 8 m;0;1;1;0;0;0;Outboard motor  power 9-25;1;1;1;1;0;1;2;1;1;20;20;;1;;24;;;;;;;;;;;;100000;;80 000;;;;50 000;;;230000;;165-260k;Tamarin;8654;4;October;31;November;;7177;7845;7437;;;;;;5705;5704;5703;;;;;;1;1;;;1;1;Attire ti poisson ki attire gros poisson;1;Gagne plis boku poisson;7437;7437;75;Thon blan;102;30;45;Thon Japonais;103;20;75;Beking;9;6;20;31;Thon Japonais;103;20;75;L'empereur ;44;200;250;Droite;125;6;10;Thon Jaune ;104;4;75;Bonite;14;3;11;Beking;9;6;20;1;;7437;Thon Jaune;104;Thon Blan;102;;;;;1;1;0;;;;1;Thon Jaune;104;;;;;;;0;;;;1, less fish in coastal waters;Less fish now;1;;10;;0;;1;1;;0;;1;1;Espadon;45;;;;;;;;;3;10;1;1;Internet, useful for safety;7437;7437;;18;0;1;;1;4;4;1;140;3;Thon blan;102;17500;130;Thon blan;102;17 500;130;Thon blan;102;15 000;100;Thon blan;102;20 000;135;Thon blan;102;30 000;140;Thon blan;102;30 000;140;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;2000;111;;;;;;;1;
119;57;West;0;1;0;0;Wooden Pirogue < 8 m;0;1;1;0;0;0;Outboard motor  power 9-25;1;1;1;0;0;1;1;1;1;14;22;;1;;25;;;;;;;;;;;;500000;;300 000;;80 000;;;;;880000;;>260k;Riviere Noire;8524;3;October;13;November;;7987;7845;7437;;;;;;8120;7437;7836;;;;;;1;1;;;0;1;Ti poisson attire ban gros poisson;1;Poisson ress plis gros;8120;8120;35;Thon Jaune ;104;2;80;Dorade;43;4;18;;;;;1;Marlin;62;200;515;Thon Jaune;104;2;80;Thon Big eye;101;;;Marlin;62;200;515;Bonite;14;1;15;Thon Jaune;104;2;80;1;;7845;Thon;99;Dorade;43;;;;;1;1;0;;;;1;Thon;99;;;;;;;1;Fr plis chaud;15;;Oui, pelagic fish eloigner ek lacote;1, Eloigner ek lacote, pelagic fish;1;;8;;0;;1;0;;0;;1;1;Lopey Vieu;56;;;;;;;;;3;;1;1;Internet;8120;7985;;5;0;1;;1;4;8;1;35;0;Thon Jaune;104;10 000;90;Thon Jaune;104;10 000;95;Thon Jaune ;104;10 000;93;Thon Jaune ;104;5000;80;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;800;160;;;;;;;1;
120;43;West;0;1;0;0;Wooden Pirogue < 8 m;0;1;1;0;0;0;Outboard motor  power 9-25;1;1;1;;;1;3;1;0;12;;;0;;23;;;;;;;;;;;;90000;;25 000;;;;85 000;;;2,00E+05;;165-260k;Tamarin;8654;3;October;10;;Oct - Dec;7437;7845;;;;;;;7437;7845;;;;;;;1;1;;;0;1;Ti poisson cashiette kot radeau la;1;Gagne plis boku poisson;7845;7845;60;Thon blan;102;20;22;Thon Jaune;104;15;30;Bonite;14;2.5;3.5;10;Vielle;111;0.5;1;Carangue;27;2;3;;;;;Thon Jaune ;104;5;30;Bonite;14;2.5;3.5;Thon blan;102;20;22;1;;7437;Thon Jaune;104;Thon Blan;102;;;;;0;;0;;;;1;Thon;99;;;;;;;1;Faire extra chaud aster;10;;1;1;1;;7;;0;;1;;;;;1;1;;;;;;;;;;;1;;1;1;Meteo, useful to avoid accidents;7845;7979;;10;0;3;;1;;24;1;125;4;Thon Big eye;101;25 000;90;Thon Big eye;101;15 000;70;Thon Big eye;101;30 000;100;Thon Big eye ;101;35 000;95;Thon Big eye;101;20 000;80;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;2000;200;;;;;;;1;
121;58;West;0;1;0;0;Wooden Pirogue < 8 m;1;1;1;0;0;0;Outboard motor  power 9-25;1;1;1;0;0;1;2;1;0;13;20;;1;;23;;;;;;;;;;;;150000;;75000;;;;250 000;;;4,00E+05;;>260k;Tamarin;8654;4;October;16;;Nov - Feb;7177;7845;7321;;;;;;5703;5706;5708;;;;;;1;0;;;1;1;Attire ti poisson ki attire gros poisson;1;Gagne plis boku poisson;7177;7177;75;Thon Jaune ;104;5;12.5;Dorade;43;3.5;20;Beking;9;5;25;16;Thon Big eye;101;5;20;;;;;;;;;Thon Big eye;101;10;30;;;;;;;;;0;;;;;;;;;;;;;0;;;;0;;;;;;;;;1;The water is hotter;10;;1, More small sized fish are caught and don't have time for reproduction;no time for reproduction;1;;10;;0;;1;0;;0;;1;1;Thon Japonais;103;;;;;;;;;1;;1;1;Useful to avois mishaps;7177;7177;;12;0;1;;1;5;24;1;105;3;Thon Jaune;104;5000;65;Thon Jaune;104;7500;75;Thon Jaune ;104;6000;60;Thon Jaune ;104;5000;60;Thon Jaune;104;7500;75;Thon Jaune;104;5000;60;Thon Jaune;104;7000;65;Thon Jaune;104;6000;60;Thon Jaune;104;5000;60;Thon Jaune;104;5000;60;Dorade;43;7500;100;Dorade;43;10 000;100;Dorade ;43;7000;90;Beking;9;7500;100;Beking;9;7000;90;Beking;9;7000;90;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;2000;167;;;;;;;1;
122;53;North;1;1;0;0;Wooden Pirogue < 8 m;1;1;1;0;0;0;Outboard motor power <8;0;1;3;0;0;1;3;1;1;17;33;;1;;23;;;;;;;;;;;;8000;;15000;;;;;;;23000;;<75k;Melville;12642;4;November;15;;December-Febuary;12508;12777;12778;;;;;;12641;12910;13045;;;;;;1;0;;Not enough fads and it is quite far;0;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;Hotter climate;10;;Less fish;Less fish now;1;;7;;0;;3;0;;0;;1;1;Papillon;70;Breton;19;Vielle pave;116;;;;;1;;1;1;Useful to avois mishaps;12778;12778;;1.5;7;2;;1;;4;1;3;1;Vielle;111;500;10;Vielle;111;100;5;Vielle;111;100;5;Vielle;111;100;5;Vielle;111;200;6;Cato;30;200;10;Cato;30;200;11;Cato;30;200;11;Cato;30;200;12;Cato;30;200;10;Cato;30;200;10;Cato;30;200;10;Cato;30;200;9;Cato;30;200;9;Cato;30;200;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;200;133;;;;;;;1;
123;50;North;1;0;0;0;Wooden Pirogue < 8 m;1;1;1;0;0;0;Outboard motor  power 9-25;0;1;3;0;0;1;3;1;1;20;;;1;;22;;;;;;;;;;;;20000;;40 000;;;;500;;;65000;;<75k;Melville;12642;4;November;30;;November and December;12777;;;;;;;;12777;;;;;;;;1;0;;No equipments and boat does not have the capacity;0;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;Less fish;Less fish now;1;;10;;0;;3;0;;0;;1;1;Cato;30;Corne;39;;;;;;;1;;0;0;;12777;12777;;1;7;2;;1;;4;1;3;0;Cato;30;250;10;Cato;30;250;10;Cato;30;200;10;Cato;30;200;10;Cato;30;250;10;Cato;30;150;7;Vielle ;111;150;9;Vielle;111;200;10;Vielle;111;250;12;Vielle;111;200;11;Vielle;111;200;12;Vielle;111;200;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;100;100;;;;;;;1;
124;38;North;1;1;0;0;Wooden Pirogue < 8 m;1;1;1;0;0;0;Outboard motor power <8;0;0;1;1;1;1;4;4;1;20;20;;0;;20;;;;;;;;;;;;125000;;60000;;20 000;;;;;185000;;165-260k;Grand Gaube;12642;4;November;30;December;;12642;12776;12103;;;;;;12104;12506;12775;;;;;;0;0;;Fads are too far and sometimes broken;0;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;Fr plis chaud;10;;Less fish;Less fish now;0;;;;0;;1;1;;1;;1;1;Guele paver;49;Calamar;24;;;;;;;2;;1;1;Avoid accidents;11835;11835;;6.2;6.8;2;;1;;8;1;3;2;Rouget;83;200;7;Rouget;83;150;7;Rouget;83;200;7;Cato;30;200;10;Cato;30;200;10;Cato;30;200;10;Cato;30;200;10;Cato;30;100;7;Cato;30;100;7;Vielle;111;200;7;Vielle;111;200;7;Vielle;111;200;7;Vielle;111;200;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;300;48;;;;;;;1;
125;62;North;0;1;0;0;Wooden Pirogue < 8 m;1;1;0;0;0;0;Outboard motor power <8;0;0;3;0;0;1;3;1;1;18;22;;1;;24;;;;;;;;;;;;100000;;50000;;20 000;;;;;170000;;165-260k;Bain Beouf;11836;4;December;15;November;;11835;12104;11568;;;;;;12229;11151;12093;;;;;;1;0;;No time;0;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;More rough sea;10;;Less fish;Less fish;0;;;;0;;3;0;;0;;1;0;;;;;;;;;;;1;;1;1;;12229;12230;;10.2;11.7;1;;1;;4;1;40;1;Corne;39;3000;35;Corne;39;1000;15;Corne;39;2000;20;Corne;39;2000;20;Corne;39;2000;20;Corne;39;800;12;Corne;39;700;12;Corne;39;1000;25;Corne;39;500;10;Corne;39;2000;30;Corne;39;1000;25;Corne;39;900;25;Corne;39;900;25;Corne;39;900;25;Bourse;18;500;10;Bourse;18;500;10;Bourse;18;500;10;Bourse;18;500;10;Bourse;18;500;10;Bourse;18;400;10;Bourse;18;500;10;Cato;30;5000;70;Cato;30;1000;30;Cato;30;1000;30;Cato;30;500;15;Capitaine;25;1000;30;Capitaine;25;700;20;Surgeon;97;500;12;Surgeon;97;500;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1500;147;3;2;12;4;4;4;1;
126;58;North;1;1;1;0;Wooden Pirogue < 8 m;1;1;1;0;0;0;Outboard motor  power >26;1;1;1;1;0;1;1;1;1;12;;NR;0;;23;;;;;;;;;;;;600000;;1000000;;;;;;;1600000;;>260k;Grand Baie;11034;3;December;20;January and Febuary;;11027;11027;10887;;;;;;11150;11028;;;;;;;1;0;;;0;1;Attire poisson;1;Gagne plis gros poisson;11150;11150;100;Dorade;43;3;20;Beking;9;1.5;37.5;Thon jaune;104;10;50;10;Dorade;43;3;20;Beking;9;1.5;37.5;Thon jaune;104;10;50;Dorade;43;3;20;Beking;9;1.5;37.5;Thon jaune;104;10;50;0;;;;;;;;;;;;;0;;;;0;;;;;;;;;1;Plis chaud;10;;Poisson p eloigner ek lagon;Poisson p eloigner;1;;4;;0;;1;1;;0;;1;1;Castor;29;Long bouche;55;Scapilaire;91;;;;;3;;0;0;;11150;11150;;17;0;1;;1;2;24;1;100;5;Thon jaune;104;10 000;90;Thon jaune;104;5000;70;Thon jaune;104;20 000;100;Thon jaune;104;10 000;60;Dorade;43;3000;;Dorade;43;5000;;Dorade ;43;10 000;;Dorade;43;20 000;;Beking;9;5000;;Beking;9;7000;;Beking;9;5000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;2500;147;;;;;;;1;
